INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20230518_011229.wav,13,2023-05-18,01:12:29,1,2023-05-17,13:12:29,13,55.98287,7.53255,SM4BAT-FS,S4U02557,2.4.6,LOT1-ONBOARD,,,,,,,1,,,,,,ufDq89vOsVCLr83EcIREnw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20230426_221445.wav,13,2023-04-26,22:14:45,22,2023-04-26,10:14:45,10,55.98287,7.53255,SM4BAT-FS,S4U02557,2.4.6,LOT1-ONBOARD,,,,,,,1,,,,,,tBnTIukSfGAeyAxkYC95nw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20231206_200449.wav,8.324,2023-12-06,20:04:49,20,2023-12-06,08:04:49,8,55.98287,7.53255,SM4BAT-FS,S4U02627,2.4.6,LOT1-ONBOARD,,,,,,,1,,,,,,nHw4mXYHSRvlqm036U6+zA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20240209_171136.wav,6.608,2024-02-09,17:11:36,17,2024-02-09,05:11:36,5,55.98287,7.53255,SM4BAT-FS,S4U02627,2.4.6,LOT1-ONBOARD,,,,,,,1,,,,,,JLCuZY/rawa1QgKm6VMisQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,MANDO_20240209_175826.wav,6.944,2024-02-09,17:58:26,17,2024-02-09,05:58:26,5,55.55796,8.08325,SM4BAT-FS,S4U17622,2.4.6,MANDO,,,,,,,1,,,,,,EfqTwYW4YLs495E2BXtz6g==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,LOT1-ONBOARD_20230810_200147.wav,13,2023-08-10,20:01:47,20,2023-08-10,08:01:47,8,55.98287,7.53255,SM4BAT-FS,S4U02627,2.4.6,LOT1-ONBOARD,,,,,,,1,,,,,,XCXbkNfe0aWdsTSwxg1mWA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,MANDO_20241008_192538.wav,11.706667,2024-10-08,19:25:38,19,2024-10-08,07:25:38,7,55.55796,8.08325,SM4BAT-FS,S4U17622,2.4.8,MANDO,,,,,,,1,,,,,,XbaA+agviawK5B8g2+i8Iw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS12_20230903_014740.wav,9.002,2023-09-03,01:47:40,1,2023-09-02,13:47:40,13,55.97842,7.19602,SM4BAT-FS,S4U17573,2.4.6,NS12,,,,,,,1,,,,,,N5U5rJWEEyEbR3RQa6uiKA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS14_20230808_025730.wav,5.108,2023-08-08,02:57:30,2,2023-08-07,14:57:30,14,56.35937,7.17648,SM4BAT-FS,S4U17593,2.4.6,NS14,,,,,,,1,,,,,,GqoYsumBn6eCsPtSvLDqog==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,MANDO_20241008_230440.wav,13.278666,2024-10-08,23:04:40,23,2024-10-08,11:04:40,11,55.55796,8.08325,SM4BAT-FS,S4U17622,2.4.8,MANDO,,,,,,,1,,,,,,OgzmuQq5bY1BHBPlBv3LiA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS13_20230413_001352.wav,9.528,2023-04-13,00:13:52,0,2023-04-12,12:13:52,12,56.16899,7.18712,SM4BAT-FS,S4U17626,2.4.6,NS13,,,,,,,1,,,,,,MbzRU16uOyKd4ceTvUEIng==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS14_20230424_223244.wav,15,2023-04-24,22:32:44,22,2023-04-24,10:32:44,10,56.35936,7.17649,SM4BAT-FS,S4U17576,2.4.6,NS14,,,,,,,1,,,,,,zyUcMk3HK/bNzYlcaPAd7A==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS19-LOT1_20230916_023448.wav,8.624,2023-09-16,02:34:48,2,2023-09-15,14:34:48,14,55.79228,7.5397,SM4BAT-FS,S4U14275,2.4.6,NS19-LOT1,,,,,,,1,,,,,,y40LVPTx6FBHjP58EHchdw==
